Year,Enrolments,Region
1995,2051176.632,Sub-Saharan Africa
1996,2162315.087,Sub-Saharan Africa
1997,2266702.209,Sub-Saharan Africa
1998,2375228.128,Sub-Saharan Africa
1999,2497892.489,Sub-Saharan Africa
2000,2810685.753,Sub-Saharan Africa
2001,3140082.101,Sub-Saharan Africa
2002,3464002.655,Sub-Saharan Africa
2003,3824411.166,Sub-Saharan Africa
2004,4108845.238,Sub-Saharan Africa
2005,4453371.72,Sub-Saharan Africa
2006,4723321.118,Sub-Saharan Africa
2007,4990546.895,Sub-Saharan Africa
2008,5393444.116,Sub-Saharan Africa
2009,5867722.787,Sub-Saharan Africa
2010,6403521.005,Sub-Saharan Africa
2011,6864506.763,Sub-Saharan Africa
2012,7313852.515,Sub-Saharan Africa
2013,7802971.108,Sub-Saharan Africa
2014,8135548.647,Sub-Saharan Africa
2015,8371386.398,Sub-Saharan Africa
2016,8515616.761,Sub-Saharan Africa
2017,8723850.889,Sub-Saharan Africa
2018,8797503.258,Sub-Saharan Africa
1995,5972805.364,South Asia
1996,6809160.136,South Asia
1997,7237844.953,South Asia
1998,8354725.318,South Asia
1999,9535671.427,South Asia
2000,10759047.63,South Asia
2001,11382909.32,South Asia
2002,12151465.08,South Asia
2003,12931103.04,South Asia
2004,13588131.58,South Asia
2005,13928884.09,South Asia
2006,15219705.26,South Asia
2007,17529912.04,South Asia
2008,20098677.32,South Asia
2009,21954434.97,South Asia
2010,24676443.21,South Asia
2011,30969896.92,South Asia
2012,33284168.74,South Asia
2013,33134461.95,South Asia
2014,35344644.01,South Asia
2015,37423604.07,South Asia
2016,37937263.77,South Asia
2017,39109090.61,South Asia
2018,40494248,South Asia
1995,16063406.84,North America
1996,16025775.81,North America
1997,15245445.35,North America
1998,14477498.43,North America
1999,14990951.77,North America
2000,14416000.53,North America
2001,14829008.88,North America
2002,17183848.06,North America
2003,17902849.93,North America
2004,18226114.07,North America
2005,18244883.43,North America
2006,18875772.93,North America
2007,19182741,North America
2008,19694365,North America
2009,20551798,North America
2010,21859147,North America
2011,22499682,North America
2012,22500815,North America
2013,21529279.33,North America
2014,21279095,North America
2015,21096825.01,North America
2016,20882628.96,North America
2017,20640783.09,North America
2018,20640821.18,North America
1995,4231378.076,Middle East & North Africa
1996,4701322.182,Middle East & North Africa
1997,5175510.636,Middle East & North Africa
1998,5627051.958,Middle East & North Africa
1999,6239579.003,Middle East & North Africa
2000,6547548.601,Middle East & North Africa
2001,6990293.101,Middle East & North Africa
2002,7378563.531,Middle East & North Africa
2003,7697469.495,Middle East & North Africa
2004,8383898.393,Middle East & North Africa
2005,8955370.075,Middle East & North Africa
2006,9483213.894,Middle East & North Africa
2007,10302058.28,Middle East & North Africa
2008,11224351.12,Middle East & North Africa
2009,11555144.76,Middle East & North Africa
2010,12326270.75,Middle East & North Africa
2011,12541811.31,Middle East & North Africa
2012,13385584.78,Middle East & North Africa
2013,13859940.44,Middle East & North Africa
2014,14639278.15,Middle East & North Africa
2015,14967295.34,Middle East & North Africa
2016,14989270.6,Middle East & North Africa
2017,15112941.95,Middle East & North Africa
2018,15207893.72,Middle East & North Africa
1995,8822030.425,Latin America & Caribbean
1996,8551754.184,Latin America & Caribbean
1997,9685258.146,Latin America & Caribbean
1998,9958444.846,Latin America & Caribbean
1999,10771736.28,Latin America & Caribbean
2000,11468476.59,Latin America & Caribbean
2001,12298469.32,Latin America & Caribbean
2002,13326952.88,Latin America & Caribbean
2003,14244958.99,Latin America & Caribbean
2004,15102328.56,Latin America & Caribbean
2005,16091209.42,Latin America & Caribbean
2006,17377161.21,Latin America & Caribbean
2007,18709292.44,Latin America & Caribbean
2008,20415762.01,Latin America & Caribbean
2009,21095788.29,Latin America & Caribbean
2010,22073499.37,Latin America & Caribbean
2011,23025520.6,Latin America & Caribbean
2012,23790179.58,Latin America & Caribbean
2013,24554838.67,Latin America & Caribbean
2014,25528793.74,Latin America & Caribbean
2015,26222818.55,Latin America & Caribbean
2016,27344571.82,Latin America & Caribbean
2017,28023101.63,Latin America & Caribbean
2018,27966361.62,Latin America & Caribbean
1995,23618895.09,Europe & Central Asia
1996,24372463.1,Europe & Central Asia
1997,25366468.42,Europe & Central Asia
1998,25956326.42,Europe & Central Asia
1999,27152340.18,Europe & Central Asia
2000,28495641.2,Europe & Central Asia
2001,30326270.14,Europe & Central Asia
2002,32233641.93,Europe & Central Asia
2003,34100075.14,Europe & Central Asia
2004,35003695.35,Europe & Central Asia
2005,36230292.47,Europe & Central Asia
2006,37256258.44,Europe & Central Asia
2007,37903312.53,Europe & Central Asia
2008,38320057.79,Europe & Central Asia
2009,38774159.73,Europe & Central Asia
2010,39247646.2,Europe & Central Asia
2011,39189586.58,Europe & Central Asia
2012,38690352.3,Europe & Central Asia
2013,38302424.98,Europe & Central Asia
2014,38061238.91,Europe & Central Asia
2015,37626117.77,Europe & Central Asia
2016,37754683.27,Europe & Central Asia
2017,38140379.37,Europe & Central Asia
2018,38031595.7,Europe & Central Asia
1995,19198913.68,East Asia & Pacific
1996,18065014.01,East Asia & Pacific
1997,19834895.74,East Asia & Pacific
1998,22588173.55,East Asia & Pacific
1999,24044091.65,East Asia & Pacific
2000,25662086.98,East Asia & Pacific
2001,28245116.47,East Asia & Pacific
2002,31557553.82,East Asia & Pacific
2003,35165144.58,East Asia & Pacific
2004,38624138.76,East Asia & Pacific
2005,41674204.93,East Asia & Pacific
2006,44780916.46,East Asia & Pacific
2007,47478593.35,East Asia & Pacific
2008,49774774.04,East Asia & Pacific
2009,53131166.87,East Asia & Pacific
2010,55671038.79,East Asia & Pacific
2011,57005915.5,East Asia & Pacific
2012,59296424.97,East Asia & Pacific
2013,61398975.88,East Asia & Pacific
2014,70036150,East Asia & Pacific
2015,71917975.61,East Asia & Pacific
2016,72762500.05,East Asia & Pacific
2017,72906427.89,East Asia & Pacific
2018,72532871.47,East Asia & Pacific
